"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CAsyncLogger","LogFromArg","30","100","0.3","D:\repo\WorldServer\Entities\CAsyncLogger.cpp","301","D:\repo\WorldServerIdaPro\functions\CAsyncLogger__LogFromArg_1.c"
"CGuildList","Init","10","33","0.3","D:\repo\WorldServer\Entities\CGuildList.cpp","39","D:\repo\WorldServerIdaPro\functions\CGuildList__Init_1.c"
"CGuildRoomSystem","GetRoomType","6","20","0.3","D:\repo\WorldServer\Entities\CGuildRoomSystem.cpp","371","D:\repo\WorldServerIdaPro\functions\CGuildRoomSystem__GetRoomType_1.c"
"CLogTypeDBTaskManager","InitLogger","9","30","0.3","D:\repo\WorldServer\Entities\CLogTypeDBTaskManager.cpp","435","D:\repo\WorldServerIdaPro\functions\CLogTypeDBTaskManager__InitLogger_1.c"
"CMapData","OpenMap","43","141","0.3","D:\repo\WorldServer\Entities\CMapData.cpp","110","D:\repo\WorldServerIdaPro\functions\CMapData__OpenMap_1.c"
"CMoveMapLimitManager","Init","9","30","0.3","D:\repo\WorldServer\Entities\CMoveMapLimitManager.cpp","31","D:\repo\WorldServerIdaPro\functions\CMoveMapLimitManager__Init_1.c"
"CPlayer","GetInitClassCost","6","20","0.3","D:\repo\WorldServer\Entities\CPlayer.cpp","10958","D:\repo\WorldServerIdaPro\functions\CPlayer__GetInitClassCost_1.c"
"CPlayer","pc_RequestTaxRate","6","20","0.3","D:\repo\WorldServer\Entities\CPlayer_Targeting.cpp","2647","D:\repo\WorldServerIdaPro\functions\CPlayer__pc_RequestTaxRate_1.c"
"CUnmannedTraderClassInfoTableType","CleanUp","8","27","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderClassInfoTableType.cpp","20","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderClassInfoTableType__CleanUp_1.c"
"CUnmannedTraderGroupIDInfo","CleanUp","8","27","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderGroupIDInfo.cpp","19","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderGroupIDInfo__CleanUp_1.c"
"CUnmannedTraderUserInfo","CheatCancelRegistAll","19","64","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","1059","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__CheatCancelRegistAll_1.c"
"CUnmannedTraderUserInfo","SendBuyErrorResult","6","20","0.3","D:\repo\WorldServer\Entities\CUnmannedTraderUserInfo.cpp","2944","D:\repo\WorldServerIdaPro\functions\CUnmannedTraderUserInfo__SendBuyErrorResult_1.c"
