WorldServer Parity Summary Report
Date: 2026-03-03 04:14:54

SourceRoot: .\WorldServer\Entities
IdaFunctionsRoot: .\WorldServerIdaPro\functions

Classes with local defs: 782
Classes with ida defs:   2580
Intersection audited:    359

Top 156 classes by missing count:
CDarkHole | missing=2 short=0 extra=1 | local=14 ida=15
CMerchant | missing=2 short=0 extra=1 | local=21 ida=22
CObjectSearchDlg | missing=2 short=0 extra=1 | local=6 ida=7
COpenDlg | missing=2 short=0 extra=1 | local=4 ida=5
CPvpUserRankingInfo | missing=2 short=0 extra=1 | local=31 ida=32
RFEvent_ClassRefine | missing=2 short=0 extra=0 | local=11 ida=13
TimeLimitJade | missing=2 short=0 extra=0 | local=11 ida=13
CMoveMapLimitRightInfo | missing=1 short=6 extra=2 | local=11 ida=10
CMoveMapLimitInfoList | missing=1 short=5 extra=1 | local=9 ida=9
CItemStoreManager | missing=1 short=4 extra=1 | local=27 ida=27
CUnmannedTraderClassInfoTableType | missing=1 short=4 extra=1 | local=8 ida=8
CGuildRanking | missing=1 short=3 extra=1 | local=31 ida=31
CGuildRoomInfo | missing=1 short=3 extra=1 | local=25 ida=25
CItemStore | missing=1 short=3 extra=1 | local=23 ida=23
CRecallEffectController | missing=1 short=3 extra=1 | local=16 ida=16
CReturnGateController | missing=1 short=3 extra=1 | local=15 ida=15
CUnmannedTraderGroupItemInfoTable | missing=1 short=3 extra=0 | local=10 ida=11
CWeeklyGuildRankManager | missing=1 short=3 extra=0 | local=32 ida=33
TimeItem | missing=1 short=3 extra=0 | local=6 ida=7
CAnimus | missing=1 short=2 extra=2 | local=72 ida=71
CPostSystemManager | missing=1 short=2 extra=1 | local=20 ida=20
CRaceBuffHolyQuestResultInfo | missing=1 short=2 extra=1 | local=15 ida=15
CTotalGuildRankManager | missing=1 short=2 extra=0 | local=9 ida=10
AutoMineMachineMng | missing=1 short=1 extra=7 | local=27 ida=21
AutoMineMachine | missing=1 short=1 extra=3 | local=32 ida=30
CHonorGuild | missing=1 short=1 extra=1 | local=19 ida=19
CNuclearBombMgr | missing=1 short=1 extra=1 | local=13 ida=13
CRaceBossMsgController | missing=1 short=1 extra=1 | local=22 ida=22
CUnmannedTraderClassInfoTableCodeType | missing=1 short=1 extra=1 | local=5 ida=5
CUnmannedTraderController | missing=1 short=1 extra=1 | local=56 ida=56
CUnmannedTraderSubClassInfoCode | missing=1 short=1 extra=1 | local=5 ida=5
CExchangeEvent | missing=1 short=1 extra=0 | local=13 ida=14
CTransportShip | missing=1 short=1 extra=0 | local=29 ida=30
CUserRankingProcess | missing=1 short=1 extra=0 | local=79 ida=80
CUnmannedTraderItemCodeInfo | missing=1 short=0 extra=3 | local=4 ida=2
CGameObject | missing=1 short=0 extra=2 | local=108 ida=107
CUnmannedTraderSortType | missing=1 short=0 extra=2 | local=6 ida=5
TaskPool | missing=1 short=0 extra=2 | local=10 ida=9
AreaList | missing=1 short=0 extra=1 | local=4 ida=4
CCouponMgr | missing=1 short=0 extra=1 | local=15 ida=15
CDummyDraw | missing=1 short=0 extra=1 | local=8 ida=8
CEquipItemSFAgent | missing=1 short=0 extra=1 | local=14 ida=14
CItemBox | missing=1 short=0 extra=1 | local=11 ida=11
CItemUpgradeTable | missing=1 short=0 extra=1 | local=6 ida=6
CMapOperation | missing=1 short=0 extra=1 | local=13 ida=13
CMergeFileManager | missing=1 short=0 extra=1 | local=7 ida=7
CReturnGateCreateParam | missing=1 short=0 extra=1 | local=2 ida=2
CUnmannedTraderGroupDivisionVersionInfo | missing=1 short=0 extra=1 | local=5 ida=5
CUnmannedTraderRegistItemInfo | missing=1 short=0 extra=1 | local=37 ida=37
CUnmannedTraderSubClassInfoForceLiverGrade | missing=1 short=0 extra=1 | local=5 ida=5
CUnmannedTraderSubClassInfoLevel | missing=1 short=0 extra=1 | local=5 ida=5
MonsterStateData | missing=1 short=0 extra=1 | local=3 ida=3
CMyTimer | missing=1 short=0 extra=0 | local=8 ida=9
CNationSettingDataRU | missing=1 short=0 extra=0 | local=7 ida=8
CPotionMgr | missing=1 short=0 extra=0 | local=16 ida=17
CReturnGate | missing=1 short=0 extra=0 | local=15 ida=16
CRusiaBillingMgr | missing=1 short=0 extra=0 | local=13 ida=14
CSyncCS | missing=1 short=0 extra=0 | local=4 ida=5
GuildCreateEventInfo | missing=1 short=0 extra=0 | local=8 ida=9
ItemCombineMgr | missing=1 short=0 extra=0 | local=11 ida=12
LendItemSheet | missing=1 short=0 extra=0 | local=6 ida=7
MiningTicket | missing=1 short=0 extra=0 | local=7 ida=8
SF_Timer | missing=1 short=0 extra=0 | local=2 ida=3
si_effect | missing=1 short=0 extra=0 | local=4 ida=5
