"ClassName","Method"
"CParticle","ReleaseEntity"
"CParticle","ReleaseParticle"
"CParticle","ResetOnePerTime"
"CParticle","SetCreatePos"
"CParticle","SetPreCalcParticle"
"CParticle","SetStartBoxArea"
"CPlayer","Cheet_BufEffectEnd"
"CPlayer","Emb_AlterStat_F"
"CPlayer","GetBillingType"
"CPlayer","GetWeaponRange"
"CPlayer","IsInTown"
"CPlayer","IsTargetObj"
"CPlayer","IsUseCloakBooster"
"CPlayer","pc_BillingInfoRequest"
"CPlayer","pc_ExchangeGoldForPvP"
"CPlayerDB","AddTrunkDalant"
"CPlayerDB","AddTrunkGold"
"CPlayerDB","DeleteItemCountFromCode"
"CPlayerDB","GetExtTrunkSlotRace"
"CPlayerDB","GetHaveUnitNum"
"CPlayerDB","GetInvenItemCountFromCode"
"CPlayerDB","GetPvPCashBag"
"CPlayerDB","GetResBufferNum"
"CPlayerDB","GetTrunkPasswdW"
"CPlayerDB","GetTrunkSlotRace"
"CPlayerDB","SubTrunkDalant"
"CPlayerDB","SubTrunkGold"
"CProcessThread","CompleteOnLoop"
"CProcessThread","ProcessOnThread"
"CProcessThread","PushData"
"CProcessThread","RegisterSyncData"
"CProcessThread","RunOnLoop"
"CProcessThread","RunOnThread"
"CProcessThread","StartThread"
"CProcessThread","Thread"
"CPvpCashMng","GetTalikNum"
"CPvpCashMng","Release"
"CPvpOrderView","Init"
"CPvpOrderView","SetOrderViewAttackState"
"CPvpOrderView","SetOrderViewDamagedState"
"CPvpOrderView","Update_KillerList"
"CPvpOrderView","UpdatePvPDeath"
"CPvpOrderView","UpdatePvPKill"
"CPvpUserAndGuildRankingSystem","Destroy"
"CPvpUserAndGuildRankingSystem","PvpRankDataPacking"
"CQuestMgr","GetLastHappenEvent"
"CQuestMgr","IsRecvedQuestByNPC"
"CQuestMgr","ReturnItem"
"CRaceBossWinRate","Destroy"
"CRaceBossWinRate","LoadINI"
"CRaceBossWinRate","SaveINI"
"CRaceBuffManager","CancelPlayerRaceBuff"
"CRaceBuffManager","Destroy"
"CRaceBuffManager","GetRaceBuffLevel"
"CRadarItemMgr","GetStartTime"
"CRadarItemMgr","IsRadarUse"
"CRadarItemMgr","IsUpdate"
"CRFCashItemDatabase","CallProc_RFONLINE_Cancel_Jap"
"CRFCashItemDatabase","CallProc_RFOnlineAuth_Jap"
"CRFCashItemDatabase","CallProc_RFOnlineUse_Jap"
"CRFDBItemLog","CreateTblLtd"
"CRFDBItemLog","CreateTblLtd_Expend"
"CRFDBItemLog","CreateTblLtd_ItemInfo"
"CRFDBItemLog","insert_expend"
"CRFDBItemLog","insert_iteminfo"
"CRFDBItemLog","insert_ltd"
"CRFDBItemLog","SetKorTime"
"CRFWorldDatabase","create_sumtotal_dungeon"
"CRFWorldDatabase","Delete_TrunkItemCharge_Extend"
"CRFWorldDatabase","exist_aminpersonal_inven"
"CRFWorldDatabase","Insert_PatrirchItemChargeRefund"
"CRFWorldDatabase","Rebirth_Base"
"CRFWorldDatabase","Select_AccountByAvatorName"
"CRFWorldDatabase","Select_AccountItemCharge_Extend"
"CRFWorldDatabase","Select_AccountSerial"
"CRFWorldDatabase","Select_AllGuildNum"
"CRFWorldDatabase","Select_CharacterBaseInfoByName"
"CRFWorldDatabase","Select_CharactersInfo"
"CRFWorldDatabase","Select_TakeItem"
"CRFWorldDatabase","Select_UserCountInfo"
"CRFWorldDatabase","Select_WaitItem"
"CRFWorldDatabase","SelectGuildBattleScheduleInfoID"
"CRFWorldDatabase","Update_Level"
"CRFWorldDatabase","Update_OutputGuildMoney"
"CRFWorldDatabase","Update_RankInGuild"
"CRFWorldDatabase","Update_Start_NpcQuest_History"
"CSkyBox","DrawSkyBox"
"CSkyBox","GetUsedVertexBufferSize"
"CSkyBox","ReleaseSkyBox"
"CTimer","CalculateTime"
"CTimer","GetDuration"
"CTimer","GetLoopTime"
"CTimer","GetTicks"
"CTimer","GetTime"
"CTimer","SetMinFPS"
"CTimer","SetTime"
"CTrap","Create"
"CTrap","GetNewSerial"
"CTrap","IsHaveEmpty"
"CTrap","IsInTown"
"CUnmannedTraderTaxRateManager","CheatChangeTaxRate"
"CUnmannedTraderTaxRateManager","Destroy"
"CUnmannedTraderTaxRateManager","SetGuildMaintainMoney"
"CUnmannedTraderUserInfo","PrcoSellUpdateWaitItem"
"CUnmannedTraderUserInfo","SetAllItemState"
"CUserDB","DummyCreate"
"CUserDB","Update_AlterPvPCashBag"
"CUserDB","Update_AutoTradeAllClear"
"CUserDB","Update_CuttingPush"
"CUserDB","Update_CuttingTrans"
"CUserDB","Update_StartNPCQuestHistory"
"CUserDB","Update_TrunkHint"
"CUserDB","Update_TrunkMoney"
"CUserDB","Update_TrunkPassword"
"CUserDB","Update_UserVoteData"
"GMCallMgr","GetGMRequestDataPtr"
"GMCallMgr","GMCallMgr"
"GMCallMgr","Init"
"GMCallMgr","InitReqBuff"
"GMCallMgr","PopReqEmptNode"
"GMCallMgr","PushReqNode"
"GMCallMgr","RequestAcceptGMCall"
"GMCallMgr","RequestGMCall"
"GMCallMgr","RequestGMList"
"PatriarchElectProcessor","Destroy"
"PatriarchElectProcessor","LoadDatabae"
"PatriarchElectProcessor","PatriarchElectProcessor"
"PatriarchElectProcessor","SetCurrPatriarchElectSerial"
"RFEventBase","Initialzie"
"RFEventBase","IsEnable"
"RFEventBase","RFEventBase"
"RFEventBase","SetEvent"
"TimeLimitMgr","Delete_All"
"TimeLimitMgr","GetPlayerData"
"TimeLimitMgr","SetConfig"
"TimeLimitMgr","SumMinuteOne"
"TimeLimitMgr","TimeLimitMgr"
"TRC_AutoTrade","check"
"TRC_AutoTrade","get_guidlname"
"TRC_AutoTrade","get_race"
"TRC_AutoTrade","getOwnerGuild"
"TRC_AutoTrade","history_used_cheet_changetaxrate"
"TRC_AutoTrade","IsMaster"
"TRC_AutoTrade","SetGuildMaintainMoney"
"WheatyExceptionReport","DumpTypeIndex"
"WheatyExceptionReport","EnumerateSymbolsCallback"
"WheatyExceptionReport","FormatOutputValue"
"WheatyExceptionReport","FormatSymbolValue"
"WheatyExceptionReport","GenerateExceptionReport"
"WheatyExceptionReport","GetBasicType"
"WheatyExceptionReport","GetDisplayInfo"
"WheatyExceptionReport","GetExceptionString"
"WheatyExceptionReport","GetLogicalAddress"
"WheatyExceptionReport","GetOsName"
"WheatyExceptionReport","GetOsVersion"
"WheatyExceptionReport","printf"
"WheatyExceptionReport","SetFtpConnection"
"WheatyExceptionReport","SetRunDialog"
"WheatyExceptionReport","WheatyExceptionReport"
"WheatyExceptionReport","WheatyUnhandledExceptionFilter"
"WheatyExceptionReport","WriteStackDetails"
