CPlayer_SendMsg_OtherShapeError_msg	_other_shape_error_zocl	MISSING
CPlayer_SendMsg_OtherShapePartEx_CashChange_msg	_other_shape_cash_rename_zocl	FOUND	WorldServer/Entities\CMainThread.h:4726:struct _other_shape_cash_rename_zocl
CPlayer_SendMsg_SetGroupTargetObjectResult_msg	_set_group_target_object_result_zocl	MISSING
CPlayer_SendMsg_SetGroupMapPoint_msg	_set_group_map_point_result_zocl	MISSING
CPlayer_SendMsg_AdjustAmountInform_msg	_adjust_amount_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6944:struct _adjust_amount_inform_zocl
CPlayer_SendMsg_ExchangeMoneyResult_msg	_exchange_money_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6704:struct _exchange_money_result_zocl
CPlayer_SendMsg_InsertItemInform_msg	_insert_item_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7144:struct _insert_item_inform_zocl
_combine_item_result_msg	_combine_item_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:3925:struct _combine_item_result_zocl
_golden_box_notify_msg	_notify_effect_for_get_gold_box_item_zocl	FOUND	WorldServer/Entities\CMainThread.h:3824:struct _notify_effect_for_get_gold_box_item_zocl
CPlayer_SendMsg_AlterMoneyInform_msg	_alter_money_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7117:struct _alter_money_inform_zocl
_hsk_act_cum	_add_holyquest_actcum_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7126:struct _add_holyquest_actcum_inform_zocl
CPlayer_SendMsg_SelectWaitedQuest_msg	_select_waited_quest_command_zocl	FOUND	WorldServer/Entities\CMainThread.h:7293:struct _select_waited_quest_command_zocl
CPlayer_SendMsg_CreateTowerResult_msg	_make_tower_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:7166:struct _make_tower_result_zocl
CPlayer_SendMsg_BackTowerResult_msg	_back_tower_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:7175:struct _back_tower_result_zocl
CPlayer_SendMsg_CreateTrapResult_msg	_make_trap_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:7203:struct _make_trap_result_zocl
CPlayer_SendMsg_DTradeAccomplishInform_msg	_d_trade_accomplish_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7256:struct _d_trade_accomplish_inform_zocl
CPlayer_SendMsg_UnitFrameBuyResult_msg	_unit_frame_buy_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6794:struct _unit_frame_buy_result_zocl
CPlayer_SendMsg_UnitSellResult_msg	_unit_sell_result_zocl	MISSING
CPlayer_SendMsg_UnitPartTuningResult_msg	_unit_part_tuning_result_zocl	MISSING
CPlayer_SendMsg_UnitFrameRepairResult_msg	_unit_frame_repair_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6807:struct _unit_frame_repair_result_zocl
CPlayer_SendMsg_UnitBulletFillResult_msg	_unit_bullet_fill_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6818:struct _unit_bullet_fill_result_zocl
CPlayer_SendMsg_UnitPackFillResult_msg	_unit_pack_fill_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:3738:struct _unit_pack_fill_result_zocl
CPlayer_SendMsg_UnitDeliveryResult_msg	_unit_delivery_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6829:struct _unit_delivery_result_zocl
CPlayer_SendMsg_NpcQuestListResult_msg	_npc_quest_list_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:3769:struct _npc_quest_list_result_zocl
CPlayer_SendMsg_SkillResult_msg	_skill_result_one_zocl	MISSING
CPlayer_SendMsg_SkillResult_msg_2	_skill_result_other_zocl	MISSING
CPlayer_SendMsg_ClassSkillResult_msg	_class_skill_result_one_zocl	MISSING
CPlayer_SendMsg_ClassSkillResult_msg_2	_class_skill_result_other_zocl	FOUND	WorldServer/Entities\CMainThread.h:6071:struct _class_skill_result_other_zocl
CPlayer_SendMsg_ForceResult_msg	_force_result_one_zocl	FOUND	WorldServer/Entities\CMainThread.h:7135:struct _force_result_one_zocl
CPlayer_SendMsg_ForceResult_msg_2	_force_result_other_zocl	MISSING
CPlayer_SendData_PartyMemberPos_msg	_party_member_pos_upd	FOUND	WorldServer/Entities\CMainThread.h:7023:struct _party_member_pos_upd
