file name	variable name	current value	ida value
WorldServer\Entities\CCheckSumBaseConverter.cpp	CCheckSumBaseConverter::ms_i64Keys	<multiline-init>	0x140970700 bytes[640] 24 15 06 00 00 00 00 00 E8 BD 00 00 00 00 00 00 5B 45 00 00 00 00 00 00 96 AC 00 00 00 00 00 00 97 A9 18 00 00 00 00 00 0D 76 8E 02 00 00 00 00 F6 04 1A 00 00 00 00 00 B2 8D 02 00 00 00 00 00 ...
WorldServer\Entities\CCheckSumBaseConverter.h	ms_dwKeys	<decl-only>	0x140970610 bytes[240] AC 80 07 00 8D 4B 0D 00 C0 21 08 00 9D DD 00 00 97 10 05 00 81 44 0A 00 EF 21 0E 00 01 EC 02 00 7E 36 08 00 CD A2 05 00 EB 7B 03 00 6C 43 0D 00 90 C9 0D 00 50 8E 01 00 3C DE 00 00 0D 30 03 00 ...
WorldServer\Entities\CCheckSumBaseConverter.h	ms_i64Keys	<decl-only>	0x140970700 bytes[640] 24 15 06 00 00 00 00 00 E8 BD 00 00 00 00 00 00 5B 45 00 00 00 00 00 00 96 AC 00 00 00 00 00 00 97 A9 18 00 00 00 00 00 0D 76 8E 02 00 00 00 00 F6 04 1A 00 00 00 00 00 B2 8D 02 00 00 00 00 00 ...
WorldServer\Entities\CChiNetworkEX.h	ms_pInstance	<decl-only>	<ambiguous-name:4>
WorldServer\Entities\CDarkHole.h	s_dwSerialCounter	<decl-only>	<ambiguous-name:3>
WorldServer\Entities\CDarkHole.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CDarkHoleChannel.h	s_dwChannelSerialCounter	<decl-only>	0x183F1C1B0 bytes[4] FF FF FF FF
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestDefaultValue	"default"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestIndexIni	".\\Quest\\Index.ini"	<not-found>
WorldServer\Entities\CDarkHoleDungeonQuest.cpp	kDarkHoleQuestMatchSection	"MATCH"	<not-found>
