MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_alter_tower_hp_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_alter_equip_sp_inform_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_set_dp_inform_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_max_dp_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_buddy_off_reged_player_inform_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_buddy_add_fail_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_party_join_invitation_question_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_party_join_application_question_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_party_join_member_result_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_party_leave_compulsion_result_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_away_party_join_invitation_question_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_guild_master_info_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_set_group_target_object_result_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_set_group_map_point_result_zocl
MATCH	WorldServer/Entities/CPlayerLocalPacketStructs.h	_buddy_download_result_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_unit_sell_result_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_unit_part_tuning_result_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_skill_result_one_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_skill_result_other_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_class_skill_result_one_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_force_result_other_zocl
MATCH	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_potion_delay_time_information_zocl
DIFF	WorldServer/Entities/CPlayerMissingLocalPacketStructs.h	_guild_list_result_zocl
