_recv_hsk_quest_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7311:struct _recv_hsk_quest_inform_zocl
_release_siege_mode_other_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7425:struct _release_siege_mode_other_inform_zocl
_reward_add_item_zocl	FOUND	WorldServer/Entities\CMainThread.h:7079:struct _reward_add_item_zocl
_select_waited_quest_command_zocl	FOUND	WorldServer/Entities\CMainThread.h:7293:struct _select_waited_quest_command_zocl
_set_dp_inform_zocl	MISSING
_set_group_map_point_result_zocl	MISSING
_set_group_target_object_result_zocl	MISSING
_skill_result_one_zocl	MISSING
_skill_result_other_zocl	MISSING
_stat_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6687:struct _stat_inform_zocl
_state_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6669:struct _state_inform_zocl
_transform_siege_mode_other_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:7415:struct _transform_siege_mode_other_inform_zocl
_unit_alter_fee_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6850:struct _unit_alter_fee_inform_zocl
_unit_bullet_fill_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6818:struct _unit_bullet_fill_result_zocl
_unit_delivery_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6829:struct _unit_delivery_result_zocl
_unit_force_return_inform_zocl	FOUND	WorldServer/Entities\CMainThread.h:6858:struct _unit_force_return_inform_zocl
_unit_frame_buy_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6794:struct _unit_frame_buy_result_zocl
_unit_frame_repair_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:6807:struct _unit_frame_repair_result_zocl
_unit_pack_fill_result_zocl	FOUND	WorldServer/Entities\CMainThread.h:3738:struct _unit_pack_fill_result_zocl
_unit_part_tuning_result_zocl	MISSING
_unit_sell_result_zocl	MISSING
