name	file	line	decl
_boss_sms_cancel_result_zocl	tes.h	58283	struct __unaligned __declspec(align(2)) _boss_sms_cancel_result_zocl
_break_stop_result_zocl	tes.h	80209	struct __unaligned __declspec(align(1)) _break_stop_result_zocl
_breakdown_equip_item_zocl	tes.h	81316	struct __unaligned __declspec(align(1)) _breakdown_equip_item_zocl
_buddy_add_answer_clzo	tes.h	79805	struct __unaligned __declspec(align(1)) _buddy_add_answer_clzo
_buddy_add_ask_zocl	tes.h	82231	struct __unaligned __declspec(align(1)) _buddy_add_ask_zocl
_buddy_add_request_clzo	tes.h	79798	struct __unaligned __declspec(align(1)) _buddy_add_request_clzo
_buddy_add_result_zocl	tes.h	82244	struct __unaligned __declspec(align(1)) _buddy_add_result_zocl
_buddy_del_result_clzo	tes.h	82254	struct __unaligned __declspec(align(1)) _buddy_del_result_clzo
_buddy_in_reged_player_inform_zocl	tes.h	82219	struct __unaligned __declspec(align(2)) _buddy_in_reged_player_inform_zocl
_buddy_pos_inform_zocl	tes.h	82260	struct __unaligned __declspec(align(2)) _buddy_pos_inform_zocl
_buddy_renewal_zocl	tes.h	82391	struct __unaligned __declspec(align(1)) _buddy_renewal_zocl
_cancel_raceboss_msg_request_ctzo	tes.h	58310	struct __unaligned __declspec(align(1)) _cancel_raceboss_msg_request_ctzo
_cancel_raceboss_msg_request_zowb	tes.h	58290	struct __unaligned __declspec(align(1)) _cancel_raceboss_msg_request_zowb
_cash_discount_event_inform_zocl	tes.h	28852	struct __unaligned __declspec(align(1)) _cash_discount_event_inform_zocl
_cast_vote_request_clzo	tes.h	79365	struct __unaligned __declspec(align(1)) _cast_vote_request_clzo
_cast_vote_result_zocl	tes.h	82029	struct __unaligned __declspec(align(1)) _cast_vote_result_zocl
_change_billing_type_inform_zocl	tes.h	82204	struct __unaligned __declspec(align(1)) _change_billing_type_inform_zocl
_change_class_other_zocl	tes.h	81546	struct __unaligned __declspec(align(2)) _change_class_other_zocl
_change_type_request_bizo	tes.h	79843	struct __unaligned __declspec(align(1)) _change_type_request_bizo
_character_disconnect_request_acwr	tes.h	53015	struct __unaligned __declspec(align(1)) _character_disconnect_request_acwr
_chat_guild_request_clzo	tes.h	33565	struct __cppobj __unaligned __declspec(align(1)) _chat_guild_request_clzo
_check_is_block_ip_result_acwr	tes.h	53052	struct __unaligned __declspec(align(1)) _check_is_block_ip_result_acwr
_circle_zone_fix_position_zocl	tes.h	80683	struct __unaligned __declspec(align(1)) _circle_zone_fix_position_zocl
_class_skill_recall_teleport_request_clzo	tes.h	80015	struct __unaligned __declspec(align(1)) _class_skill_recall_teleport_request_clzo
_class_skill_result_other_zocl	tes.h	80388	struct _class_skill_result_other_zocl
_combine_item_result_zocl	tes.h	35152	struct __unaligned __declspec(align(1)) _combine_item_result_zocl::__item
_complete_vote_inform_zocl	tes.h	58074	struct __unaligned __declspec(align(2)) _complete_vote_inform_zocl
_confirm_sms_infom_zoct	tes.h	58249	struct __unaligned __declspec(align(1)) _confirm_sms_infom_zoct
_continue_tower_inform	tes.h	81763	struct __unaligned __declspec(align(2)) _continue_tower_inform
_count_succ_inform_zocl	tes.h	80228	struct __unaligned __declspec(align(1)) _count_succ_inform_zocl
_create_circle_zone_stone_zocl	tes.h	80677	struct __unaligned __declspec(align(1)) _create_circle_zone_stone_zocl
_create_gravity_stone_zocl	tes.h	80354	struct __unaligned __declspec(align(2)) _create_gravity_stone_zocl
_current_billing_type_inform_zocl	tes.h	80765	struct __unaligned __declspec(align(2)) _current_billing_type_inform_zocl
_cutting_complete_result_zocl	tes.h	81404	struct __unaligned __declspec(align(1)) _cutting_complete_result_zocl
_d_trade_accomplish_inform_zocl	tes.h	81867	struct __unaligned __declspec(align(1)) _d_trade_accomplish_inform_zocl
