name	required_pack	status	file	line	kind	current_pack	decl
_R3MATERIAL	1	missing_pack_scope	WorldServer/Entities/R3EngineGlobals.h	7	struct		struct _R3MATERIAL;
_R3MATERIAL	1	missing_pack_scope	WorldServer/Entities/WorldServerUtil.h	16	struct		struct _R3MATERIAL;
_READ_MAP_ENTITIES_LIST	1	pack_mismatch	WorldServer/Entities/BspReadEntities.h	7	struct	2	struct __unaligned __declspec(align(2)) _READ_MAP_ENTITIES_LIST
_READ_MAP_ENTITIES_LIST	1	missing_pack_scope	WorldServer/Entities/CBsp.h	166	struct		struct _READ_MAP_ENTITIES_LIST;
_REGED	1	ok	WorldServer/Entities/CMainThread.h	14	struct	1	struct _REGED;
_REGED	1	ok	WorldServer/Entities/CMainThread.h	1264	struct	1	struct __cppobj __unaligned __declspec(align(1)) _AVATOR_DB_BASE : _REGED
_REGED	1	missing_pack_scope	WorldServer/Entities/CMgrAccountLobbyHistory.h	10	struct		struct _REGED;
_REGED_AVATOR_DB	1	ok	WorldServer/Entities/CMainThread.h	15	struct	1	struct _REGED_AVATOR_DB;
_REGED_AVATOR_DB	1	ok	WorldServer/Entities/CMainThread.h	1230	struct	1	struct __cppobj __unaligned __declspec(align(1)) _REGED_AVATOR_DB
_REGED_AVATOR_DB	1	ok	WorldServer/Entities/CMainThread.h	1249	struct	1	struct __cppobj __unaligned __declspec(align(1)) _REGED : _REGED_AVATOR_DB
_REGED_AVATOR_DB	1	missing_pack_scope	WorldServer/Entities/CMgrAccountLobbyHistory.h	11	struct		struct _REGED_AVATOR_DB;
_RETURNPOST_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	1612	struct	1	struct __cppobj __unaligned __declspec(align(1)) _RETURNPOST_DB_BASE
_RTC_ALLOCA_NODE	1	no_match_in_entities					
_SHChangeDWORDAsIDList	1	no_match_in_entities					
_SHChangeNotifyEntry	1	no_match_in_entities					
_SHChangeUpdateImageIDList	1	no_match_in_entities					
_SHITEMID	1	no_match_in_entities					
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	202	struct	1	struct __cppobj _bag_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	208	struct	1	struct __cppobj _equip_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	214	struct	1	struct __cppobj __unaligned __declspec(align(2)) _embellish_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	220	struct	1	struct __cppobj _force_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	226	struct	1	struct __cppobj _animus_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	232	struct	1	struct __cppobj _trunk_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	239	struct	1	struct __cppobj _Exttrunk_db_load : _STORAGE_LIST
_STORAGE_LIST	1	ok	WorldServer/Entities/CPlayer.h	397	struct	1	struct __cppobj _personal_amine_inven_db_load : _STORAGE_LIST
_STORAGE_LIST	1	missing_pack_scope	WorldServer/Entities/StorageList.h	6	struct		struct __cppobj __unaligned __declspec(align(4)) _STORAGE_LIST
_STORAGE_LIST::_db_con	1	no_match_in_entities					
_STORAGE_LIST::_storage_con	1	no_match_in_entities					
_STORAGE_POS_INDIV	1	missing_pack_scope	WorldServer/Entities/CNetworkEX.h	8	struct		struct _STORAGE_POS_INDIV;
_STORAGE_POS_INDIV	1	missing_pack_scope	WorldServer/Entities/CPostSystemManager.h	11	struct		struct _STORAGE_POS_INDIV;
_SUPPLEMENT_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	20	struct	1	struct _SUPPLEMENT_DB_BASE;
_SUPPLEMENT_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	1726	struct	1	struct __cppobj __unaligned __declspec(align(1)) _SUPPLEMENT_DB_BASE
_TIMELIMITINFO_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	21	struct	1	struct _TIMELIMITINFO_DB_BASE;
_TIMELIMITINFO_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	1769	struct	1	struct __unaligned __declspec(align(1)) _TIMELIMITINFO_DB_BASE
_TOOL_COL_LEAF	1	pack_mismatch	WorldServer/Entities/CBsp.h	134	struct	2	struct _TOOL_COL_LEAF
_TOOL_COL_LEAF	1	ok	WorldServer/Entities/CMainThread.h	73	struct	1	struct _TOOL_COL_LEAF;
_TOOL_COL_LEAF	1	ok	WorldServer/Entities/CPlayer.h	93	struct	1	struct _TOOL_COL_LEAF;
_TRADE_DB_BASE::_LIST	1	no_match_in_entities					
_TRUNK_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	25	struct	1	struct _TRUNK_DB_BASE;
_TRUNK_DB_BASE	1	ok	WorldServer/Entities/CMainThread.h	1528	struct	1	struct __cppobj __unaligned __declspec(align(1)) _TRUNK_DB_BASE
_TRUNK_DB_BASE::_LIST	1	no_match_in_entities					
_UNIT_DB_BASE::_LIST	1	no_match_in_entities					
_WAIT_ENTER_ACCOUNT	1	ok	WorldServer/Entities/CMainThread.h	191	struct	1	struct __cppobj _WAIT_ENTER_ACCOUNT
_a_trade_adjust_price_request_clzo	1	ok	WorldServer/Entities/a_trade_adjust_price_request_clzo.h	6	struct	1	struct _a_trade_adjust_price_request_clzo
_a_trade_adjust_price_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderController.h	10	struct		struct _a_trade_adjust_price_request_clzo;
_a_trade_adjust_price_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfo.h	11	struct		struct _a_trade_adjust_price_request_clzo;
_a_trade_adjust_price_request_clzo	1	missing_pack_scope	WorldServer/Entities/CUnmannedTraderUserInfoTable.h	14	struct		struct _a_trade_adjust_price_request_clzo;
_a_trade_adjust_price_result_zocl	1	ok	WorldServer/Entities/a_trade_adjust_price_result_zocl.h	6	struct	1	struct _a_trade_adjust_price_result_zocl
_a_trade_clear_item_request_clzo	1	ok	WorldServer/Entities/a_trade_clear_item_request_clzo.h	6	struct	1	struct _a_trade_clear_item_request_clzo
