ea,segment,name,kind,value,used_by_functions,log_like
0x1406EB588,.rdata,STATE_LIST_NULL$initializer$,bytes[8],70 A1 6D 40 01 00 00 00,,0
0x1406EB590,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$,bytes[8],D0 A1 6D 40 01 00 00 00,,0
0x1406EB598,.rdata,CPlayer::s_SkillIndexPerMastery$initializer$,bytes[8],20 A2 6D 40 01 00 00 00,,0
0x1406EB5A0,.rdata,CPlayer::s_MgrItemHistory$initializer$,bytes[8],70 A2 6D 40 01 00 00 00,,0
0x1406EB5A8,.rdata,CPlayer::s_MgrLvHistory$initializer$,bytes[8],C0 A2 6D 40 01 00 00 00,,0
0x1406EB5B0,.rdata,CPlayer::s_AnimusReturnDelay$initializer$,bytes[8],10 A3 6D 40 01 00 00 00,,0
0x1406EB5B8,.rdata,CPlayer::s_BillingForceCloseDelay$initializer$,bytes[8],60 A3 6D 40 01 00 00 00,,0
0x1406EB5C0,.rdata,CPlayer::s_tblLimMasteryCum$initializer$,bytes[8],B0 A3 6D 40 01 00 00 00,,0
0x1406EB5C8,.rdata,CPlayer::s_tblLimMasteryCumContinue$initializer$,bytes[8],20 A4 6D 40 01 00 00 00,,0
0x1406EB5D0,.rdata,CPlayer::s_tblLimMastery$initializer$,bytes[8],90 A4 6D 40 01 00 00 00,,0
0x1406EB5D8,.rdata,CPlayer::s_tblLimMasteryContinue$initializer$,bytes[8],00 A5 6D 40 01 00 00 00,,0
0x1406EB5F8,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_0,bytes[8],F0 A8 6D 40 01 00 00 00,,0
0x1406EB600,.rdata,STATE_LIST_NULL$initializer$_0,bytes[8],40 A9 6D 40 01 00 00 00,,0
0x1406EB608,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_0,bytes[8],A0 A9 6D 40 01 00 00 00,,0
0x1406EB618,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_1,bytes[8],70 AA 6D 40 01 00 00 00,,0
0x1406EB620,.rdata,STATE_LIST_NULL$initializer$_1,bytes[8],C0 AA 6D 40 01 00 00 00,,0
0x1406EB628,.rdata,NORMAL_GUILD_BATTLE_STATE_NULL$initializer$_1,bytes[8],20 AB 6D 40 01 00 00 00,,0
0x1406EB638,.rdata,CUserDB::s_MoveLobbyDelay$initializer$,bytes[8],70 B5 6D 40 01 00 00 00,,0
0x1406EB640,.rdata,CUserDB::s_logAvatorDB$initializer$,bytes[8],C0 B5 6D 40 01 00 00 00,,0
0x1406EB648,.rdata,CUserDB::s_MgrLobbyHistory$initializer$,bytes[8],10 B6 6D 40 01 00 00 00,,0
0x1406EB650,.rdata,nGMCmpLen$initializer$,bytes[8],60 B6 6D 40 01 00 00 00,,0
0x1406EB660,.rdata,CAnimus::s_tblParameter$initializer$,bytes[8],20 B8 6D 40 01 00 00 00,,0
0x1406EB670,.rdata,CGuardTower::s_Temp$initializer$,bytes[8],90 BA 6D 40 01 00 00 00,,0
0x1406EB678,.rdata,CGuardTower::s_dwOldTick_CheckTemp$initializer$,bytes[8],E0 BA 6D 40 01 00 00 00,,0
0x1406EB688,.rdata,CMonster::s_logTrace_Boss_Looting$initializer$,bytes[8],20 BE 6D 40 01 00 00 00,,0
0x1406EB690,.rdata,CMonster::s_logTrace_Boss_BirthAndDeath$initializer$,bytes[8],70 BE 6D 40 01 00 00 00,,0
0x1406EB698,.rdata,sPlayerDum$initializer$,bytes[8],C0 BE 6D 40 01 00 00 00,,0
0x1406EB6A8,.rdata,CPathMgr::ms_BackupPath$initializer$,bytes[8],90 C1 6D 40 01 00 00 00,,0
0x1406EB6B0,.rdata,g_AggroCaculateData$initializer$,bytes[8],E0 C1 6D 40 01 00 00 00,,0
0x1406EB6B8,.rdata,g_MonsterSetInfoData$initializer$,bytes[8],20 C2 6D 40 01 00 00 00,,0
0x1406EB6C8,.rdata,CAttack::s_DefParam$initializer$,bytes[8],60 C6 6D 40 01 00 00 00,,0
0x1406EB6D8,.rdata,g_strMapMap$initializer$,bytes[8],A0 C9 6D 40 01 00 00 00,,0
0x1406EB6E0,.rdata,g_strLMapMap$initializer$,bytes[8],F0 C9 6D 40 01 00 00 00,,0
0x1406EB6F0,.rdata,g_MapOper$initializer$,bytes[8],C0 CA 6D 40 01 00 00 00,,0
0x1406EB700,.rdata,g_MapDisplay$initializer$,bytes[8],90 CC 6D 40 01 00 00 00,,0
0x1406EB710,.rdata,GUILD_BATTLE_STATE_NULL$initializer$_2,bytes[8],60 D4 6D 40 01 00 00 00,,0
0x1406EB718,.rdata,STATE_LIST_NULL$initializer$_2,bytes[8],B0 D4 6D 40 01 00 00 00,,0
